:nemesis	:info	:start-partition	:one
1	:invoke	:add	4
:nemesis	:info	:start-partition	[:isolated {"n0" #{"n2" "n1"}, "n2" #{"n0"}, "n1" #{"n0"}}]
1	:ok	:add	4
2	:invoke	:read	nil
0	:invoke	:add	1
0	:ok	:add	1
2	:info	:read	nil	indeterminate: throw+: {:type :rpc-error, :code 13, :name :crash, :definite? false, :body {:code 13, :in_reply_to 1, :text "failed to write session: RPCError(KeyDoesNotExist, \"key does not exist\")", :type "error"}}
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:add	4
1	:ok	:add	4
5	:invoke	:add	3
5	:ok	:add	3
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:read	nil
1	:ok	:read	8
5	:invoke	:add	4
5	:ok	:add	4
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	5
1	:invoke	:read	nil
1	:ok	:read	8
5	:invoke	:read	nil
5	:ok	:read	7
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	7
1	:invoke	:add	1
1	:ok	:add	1
5	:invoke	:read	nil
5	:ok	:read	7
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	9
1	:invoke	:read	nil
1	:ok	:read	9
5	:invoke	:read	nil
5	:ok	:read	7
0	:invoke	:read	nil
0	:ok	:read	9
0	:invoke	:read	nil
0	:ok	:read	9
1	:invoke	:read	nil
5	:invoke	:read	nil
5	:ok	:read	7
1	:ok	:read	9
0	:invoke	:read	nil
0	:ok	:read	9
0	:invoke	:read	nil
0	:ok	:read	9
1	:invoke	:add	2
1	:ok	:add	2
5	:invoke	:add	0
5	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	9
0	:invoke	:read	nil
0	:ok	:read	9
1	:invoke	:read	nil
1	:ok	:read	11
5	:invoke	:read	nil
5	:ok	:read	7
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	9
1	:invoke	:add	4
1	:ok	:add	4
