:nemesis	:info	:start-partition	:one
1	:invoke	:read	nil
1	:ok	:read	[]
:nemesis	:info	:start-partition	[:isolated {"n3" #{"n2" "n1" "n4" "n0"}, "n2" #{"n3"}, "n1" #{"n3"}, "n4" #{"n3"}, "n0" #{"n3"}}]
2	:invoke	:read	nil
2	:ok	:read	[]
3	:invoke	:broadcast	0
3	:ok	:broadcast	0
4	:invoke	:read	nil
4	:ok	:read	[]
0	:invoke	:read	nil
0	:ok	:read	[]
0	:invoke	:read	nil
0	:ok	:read	[]
1	:invoke	:read	nil
1	:ok	:read	[]
2	:invoke	:read	nil
2	:ok	:read	[]
3	:invoke	:read	nil
3	:ok	:read	[0]
4	:invoke	:read	nil
4	:ok	:read	[]
0	:invoke	:broadcast	1
0	:ok	:broadcast	1
0	:invoke	:read	nil
0	:ok	:read	[1]
1	:invoke	:read	nil
1	:ok	:read	[]
2	:invoke	:read	nil
2	:ok	:read	[]
3	:invoke	:read	nil
3	:ok	:read	[0]
4	:invoke	:broadcast	2
4	:ok	:broadcast	2
0	:invoke	:read	nil
0	:ok	:read	[1]
0	:invoke	:broadcast	3
0	:ok	:broadcast	3
1	:invoke	:broadcast	4
1	:ok	:broadcast	4
2	:invoke	:broadcast	5
2	:ok	:broadcast	5
3	:invoke	:broadcast	6
3	:ok	:broadcast	6
4	:invoke	:read	nil
4	:ok	:read	[2 1 4]
0	:invoke	:read	nil
0	:ok	:read	[1 3 4]
0	:invoke	:read	nil
0	:ok	:read	[1 3 4]
1	:invoke	:read	nil
1	:ok	:read	[1 4 3 2]
2	:invoke	:read	nil
2	:ok	:read	[1 4 5]
3	:invoke	:read	nil
3	:ok	:read	[0 6]
4	:invoke	:broadcast	7
4	:ok	:broadcast	7
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 2]
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 2]
1	:invoke	:read	nil
1	:ok	:read	[1 4 3 2 5]
2	:invoke	:broadcast	8
2	:ok	:broadcast	8
3	:invoke	:broadcast	9
3	:ok	:broadcast	9
4	:invoke	:broadcast	10
4	:ok	:broadcast	10
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 2 5 7 10]
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 2 5 7 10]
1	:invoke	:read	nil
1	:ok	:read	[1 4 3 2 5 7 10 8]
2	:invoke	:read	nil
3	:invoke	:broadcast	11
3	:ok	:broadcast	11
2	:ok	:read	[1 4 5 3 2 8 7 10]
4	:invoke	:read	nil
4	:ok	:read	[2 1 4 3 7 5 10 8]
0	:invoke	:broadcast	12
0	:ok	:broadcast	12
0	:invoke	:broadcast	13
0	:ok	:broadcast	13
1	:invoke	:broadcast	14
1	:ok	:broadcast	14
2	:invoke	:read	nil
3	:invoke	:broadcast	15
2	:ok	:read	[1 4 5 3 2 8 7 10 14]
3	:ok	:broadcast	15
4	:invoke	:read	nil
4	:ok	:read	[2 1 4 3 7 5 10 8 14]
0	:invoke	:broadcast	16
0	:ok	:broadcast	16
0	:invoke	:broadcast	17
0	:ok	:broadcast	17
1	:invoke	:broadcast	18
1	:ok	:broadcast	18
2	:invoke	:broadcast	19
2	:ok	:broadcast	19
3	:invoke	:read	nil
4	:invoke	:read	nil
4	:ok	:read	[2 1 4 3 7 5 10 8 14 12 13]
3	:ok	:read	[0 6 9 11 15]
0	:invoke	:broadcast	20
0	:ok	:broadcast	20
0	:invoke	:broadcast	21
0	:ok	:broadcast	21
1	:invoke	:broadcast	22
1	:ok	:broadcast	22
2	:invoke	:read	nil
2	:ok	:read	[1 4 5 3 2 8 7 10 14 12 13 19 16 17 18]
3	:invoke	:broadcast	23
3	:ok	:broadcast	23
4	:invoke	:broadcast	24
4	:ok	:broadcast	24
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 2 5 7 10 8 12 13 14 16 17 20 21 18]
0	:invoke	:broadcast	25
0	:ok	:broadcast	25
1	:invoke	:broadcast	26
1	:ok	:broadcast	26
2	:invoke	:read	nil
2	:ok	:read	[1 4 5 3 2 8 7 10 14 12 13 19 16 17 18 20 21 22 26]
3	:invoke	:read	nil
3	:ok	:read	[0 6 9 11 15 23]
4	:invoke	:read	nil
4	:ok	:read	[2 1 4 3 7 5 10 8 14 12 13 16 17 18 24 19 20 21 22 26]
0	:invoke	:read	nil
0	:ok	:read	[1 3 4 2 5 7 10 8 12 13 14 16 17 20 21 18 25 19 22 26]
0	:invoke	:broadcast	27
0	:ok	:broadcast	27
1	:invoke	:read	nil
1	:ok	:read	[1 4 3 2 5 7 10 8 14 12 13 16 17 18 19 20 21 22 26 24 25 27]
2	:invoke	:broadcast	28
